"state","legislation","section","offence_code","description","amount_aud","penalty_units","amount_basis","source","source_url","source_as_at","page"
"NSW","Road Rules 2014","210(1)","93872","Not position front/rear of vehicle correctly - 90 degree angle parking","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93869","Not angle park as on parking control sign or road marking","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93873","Not position rear of vehicle correctly - 45 degree angle parking","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93874","Not angle park as on parking control sign or road marking","100","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93877","Not position front/rear of vehicle correctly - 90 degree angle parking","100","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93871","Not park at 90 degree angle","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93878","Not position rear of vehicle correctly - 45 degree angle parking","100","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93870","Not park at 45 degree angle","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93875","Not park at 45 degree angle","100","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","210(1)","93876","Not park at 90 degree angle","100","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-210-1"
"NSW","Road Rules 2014","208(1)","82767","Not parallel park in direction of travel","330","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Road Rules 2014","208(1)","82770","Parallel park close to dividing line/strip","330","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Road Rules 2014","208(1)","82768","Not parallel park near left","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Road Rules 2014","208(1)","82769","Park so as to obstruct vehicles/pedestrians","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Road Rules 2014","208(1)","82773","Not parallel park near road side","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Road Rules 2014","208(1)","91768","Not parallel park in direction of travel in school zone","423","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Road Rules 2014","208(1)","82772","Not parallel park with 3 metres clear road alongside (no dividing line/strip)","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Road Rules 2014","208(1)","91769","Parallel park close to dividing line/strip in school zone","423","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Road Rules 2014","208(1)","82771","Parallel park close to front/back of vehicle","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/road-rules-2014-r-208-1"
"NSW","Local Government Act 1993","650(1)","92352","Park vehicle for longer than maximum period allowed","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/local-government-act-1993-s-650-1"
"NSW","Local Government Act 1993","650(1)","19265","Stand vehicle in disabled persons parking space without authority","704","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/local-government-act-1993-s-650-1"
"NSW","Local Government Act 1993","650(1)","92353","Park vehicle for longer than maximum period allowed","100","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/local-government-act-1993-s-650-1"
"NSW","Local Government Act 1993","650(1)","6181","Stand vehicle in area when area closed to public","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/local-government-act-1993-s-650-1"
"NSW","Local Government Act 1993","650(1)","93883","Park vehicle other than at times permitted","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/local-government-act-1993-s-650-1"
"NSW","Local Government Act 1993","650(1)","93884","Park vehicle other than at times permitted","100","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/local-government-act-1993-s-650-1"
"NSW","Local Government Act 1993","650(4)(a)","92354","Not stand vehicle in marked parking space","140","","","Revenue NSW penalty notice data set (DFOSF 001), FY2025-26","https://www.revenue.nsw.gov.au/help-centre/resources-library/statistics/penalty-notice-data-2025-2026-dfosf-001-2025.xlsx","FY2025-26","https://www.catoappeals.com/au/nsw/parking-fines/local-government-act-1993-s-650-1"
